차례	항목	풀이	품사	빈도	개수	교재	교과	교양	문학	신문	잡지	대본	구어	기타
16399	ㄱ01		명	7 	3 	2 	0 	0 	0 	0 	4 	0 	0 	1 
10933	가01	우물~	명	13 	10 	2 	0 	1 	4 	0 	2 	1 	0 	3 
10934	가07	家	명	13 	3 	0 	0 	12 	1 	0 	0 	0 	0 	0 
38207	가80	假	명	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
25486	가가03	假家	명	3 	2 	0 	1 	0 	2 	0 	0 	0 	0 	0 
30138	가가대소	呵呵大笑	명	2 	1 	0 	0 	0 	0 	0 	0 	0 	0 	2 
38208	가가대소하다	呵呵大笑-	동	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
38209	가가소소하다		형	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
30139	가가호호	家家戶戶	부	2 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0 
22315	가감01	加減	명	4 	3 	0 	0 	0 	0 	1 	3 	0 	0 	0 
38210	가객02	歌客	명	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
38211	가갸거겨		부	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
38212	가갸날		명	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
38213	가거주	假居住	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
22316	가건물	假建物	명	4 	3 	0 	0 	0 	1 	1 	2 	0 	0 	0 
30140	가검물	可檢物	명	2 	1 	0 	0 	0 	0 	2 	0 	0 	0 	0 
1195	가게		명	192 	50 	34 	11 	9 	37 	12 	20 	51 	2 	16 
17945	가겟방	-房	명	6 	4 	1 	0 	0 	2 	0 	1 	2 	0 	0 
898	가격03	價格	명	250 	45 	8 	18 	70 	18 	109 	25 	0 	0 	2 
25487	가격하다	加擊-	동	3 	3 	0 	0 	1 	0 	1 	0 	1 	0 	0 
30141	가결하다01	可決-	동	2 	1 	0 	0 	0 	0 	2 	0 	0 	0 	0 
14013	가계06	家系	명	9 	7 	0 	0 	6 	0 	1 	2 	0 	0 	0 
9885	가계08	家計	명	15 	8 	0 	0 	1 	1 	2 	10 	0 	0 	1 
