차례	항목	품사	빈도	개수	교재	교과	교양	문학	신문	잡지	대본	구어	기타
453	가	연	2 	1 	0 	0 	0 	0 	0 	0 	2 	0 	0 
334	가	종	6 	4 	0 	0 	0 	2 	0 	1 	3 	0 	0 
540	간	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
229	갔	선	18 	3 	0 	0 	0 	13 	0 	0 	5 	0 	0 
47	거나	연	1,464 	141 	66 	220 	424 	194 	291 	162 	3 	17 	87 
234	거늘	연	17 	9 	2 	1 	5 	1 	1 	3 	0 	0 	4 
194	거니	연	32 	17 	0 	4 	4 	11 	0 	8 	0 	1 	4 
262	거니	종	13 	8 	3 	1 	2 	2 	0 	2 	0 	0 	3 
174	거니와	연	51 	22 	1 	0 	23 	17 	4 	3 	0 	0 	3 
200	거든	연	29 	20 	3 	0 	5 	14 	1 	1 	4 	0 	1 
92	거든	종	374 	62 	57 	4 	8 	80 	1 	24 	20 	174 	6 
351	거들랑	연	5 	5 	2 	0 	0 	1 	0 	1 	1 	0 	0 
454	거들랑	종	2 	2 	0 	0 	0 	2 	0 	0 	0 	0 	0 
179	거라	종	47 	25 	3 	3 	4 	18 	0 	1 	13 	0 	5 
125	건	연	158 	47 	16 	0 	55 	32 	20 	16 	5 	9 	5 
213	건대	연	22 	17 	1 	0 	11 	3 	3 	2 	0 	0 	2 
541	건마는	연	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 
163	건만	연	67 	22 	3 	0 	6 	29 	2 	15 	1 	0 	11 
542	걸랑	연	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
455	걸랑	종	2 	2 	0 	0 	0 	1 	1 	0 	0 	0 	0 
195	겄	선	31 	9 	0 	0 	0 	16 	0 	1 	13 	0 	1 
11	게	연	18,406 	176 	987 	2,037 	4,284 	3,885 	2,281 	2,568 	538 	767 	1,059 
151	게	종	85 	36 	11 	8 	13 	19 	0 	1 	22 	8 	3 
184	게끔	연	41 	25 	4 	1 	21 	8 	4 	0 	0 	2 	1 
263	게나	종	13 	10 	2 	0 	2 	5 	0 	1 	1 	0 	2 
352	게시리	연	5 	4 	0 	0 	0 	4 	0 	1 	0 	0 	0 
22	겠	선	4,374 	163 	551 	184 	592 	1,191 	536 	477 	224 	249 	370 
4	고	연	46,689 	175 	2,223 	3,394 	10,023 	10,331 	7,355 	6,813 	2,000 	1,620 	2,930 
116	고	종	202 	55 	23 	2 	4 	72 	3 	12 	41 	41 	4 
131	고는	연	134 	61 	7 	3 	27 	54 	9 	25 	2 	1 	6 
115	고도	연	207 	81 	14 	9 	42 	55 	38 	35 	2 	3 	9 
543	고롬	연	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
282	고말고	종	10 	8 	1 	4 	1 	4 	0 	0 	0 	0 	0 
104	고서	연	293 	74 	6 	3 	28 	127 	21 	24 	3 	38 	43 
456	고서리	연	2 	1 	0 	0 	0 	0 	0 	0 	2 	0 	0 
457	고설랑	연	2 	1 	0 	0 	0 	2 	0 	0 	0 	0 	0 
