차례	항목	품사	빈도	개수	교재	교과	교양	문학	신문	잡지	대본	구어	기타
1	의	관	72,437 	176 	1,951 	4,943 	27,721 	10,022 	15,261 	9,229 	580 	459 	2,271 
2	을	목	71,370 	176 	3,142 	6,874 	17,791 	13,193 	14,170 	10,730 	1,117 	792 	3,561 
3	에	부	57,750 	176 	2,941 	4,660 	16,339 	9,547 	11,298 	8,109 	877 	1,190 	2,789 
4	이	주	50,894 	176 	2,894 	3,796 	12,032 	9,821 	9,461 	7,600 	833 	1,726 	2,731 
5	이다	지	49,507 	176 	2,635 	2,183 	16,581 	9,530 	7,559 	6,780 	651 	808 	2,780 
6	는	조	45,348 	176 	2,388 	3,401 	11,188 	11,146 	7,318 	5,755 	310 	960 	2,882 
7	를	목	41,429 	176 	1,662 	3,415 	10,077 	8,381 	8,303 	5,975 	731 	661 	2,224 
8	은	조	35,606 	176 	1,842 	2,391 	11,058 	5,603 	7,044 	4,980 	312 	719 	1,657 
9	가	주	32,530 	176 	1,840 	2,096 	7,051 	7,953 	5,231 	4,160 	829 	1,242 	2,128 
10	도	조	23,812 	176 	1,638 	1,403 	5,071 	5,058 	3,895 	3,636 	615 	789 	1,707 
11	으로	부	21,559 	176 	589 	1,487 	6,498 	3,493 	4,971 	3,008 	423 	346 	744 
12	에서	부	19,693 	176 	932 	1,387 	6,163 	2,894 	4,078 	2,780 	246 	282 	931 
13	로	부	15,511 	176 	540 	1,057 	4,057 	2,799 	3,503 	2,437 	264 	255 	599 
14	과	접	9,914 	169 	300 	1,176 	3,566 	977 	2,240 	1,295 	85 	19 	256 
15	고	인	9,732 	166 	550 	389 	2,536 	1,606 	2,147 	1,353 	139 	279 	733 
16	와	접	6,471 	170 	202 	702 	2,138 	761 	1,439 	880 	109 	23 	217 
17	만	조	6,057 	167 	443 	247 	1,456 	1,292 	893 	889 	236 	253 	348 
18	이	보	4,949 	168 	229 	233 	1,605 	935 	649 	714 	75 	162 	347 
19	에게	부	4,769 	163 	281 	275 	1,096 	1,147 	713 	730 	130 	14 	383 
20	과	부	4,435 	167 	152 	438 	1,486 	506 	967 	687 	25 	12 	162 
21	까지	조	4,283 	169 	229 	181 	924 	846 	989 	687 	81 	97 	249 
22	ㄴ	조	3,906 	148 	296 	36 	348 	1,486 	284 	447 	389 	477 	143 
23	요	조	3,439 	116 	993 	211 	158 	1,036 	30 	223 	306 	320 	162 
24	와	부	3,414 	156 	94 	228 	1,208 	507 	746 	457 	28 	6 	140 
25	부터	조	2,548 	164 	182 	167 	414 	438 	659 	434 	64 	75 	115 
26	가	보	2,539 	153 	123 	98 	846 	484 	328 	371 	31 	71 	187 
27	보다	부	2,429 	158 	143 	115 	696 	371 	518 	340 	23 	71 	152 
28	처럼	부	2,379 	149 	87 	119 	510 	958 	265 	292 	38 	30 	80 
29	이나	접	2,373 	157 	154 	313 	833 	182 	434 	313 	9 	40 	95 
30	나	접	1,630 	145 	71 	188 	562 	145 	298 	238 	16 	37 	75 
31	ㄹ	목	1,597 	113 	160 	27 	121 	664 	41 	135 	179 	231 	39 
32	서	부	1,417 	158 	94 	35 	378 	308 	259 	136 	42 	83 	82 
33	나	조	1,254 	146 	83 	52 	302 	312 	193 	164 	34 	33 	81 
34	로서	부	1,059 	110 	36 	49 	564 	135 	143 	103 	10 	6 	13 
35	이나	조	886 	130 	62 	20 	136 	312 	88 	128 	36 	21 	83 
36	밖에	조	876 	138 	49 	25 	248 	182 	158 	110 	22 	31 	51 
37	으로써	부	863 	108 	17 	52 	536 	36 	148 	53 	0 	12 	9 
38	라	인	787 	114 	36 	22 	319 	88 	159 	122 	1 	8 	32 
39	한테	부	776 	81 	56 	9 	89 	355 	2 	19 	99 	96 	51 
40	마다	조	688 	138 	52 	67 	99 	160 	116 	127 	13 	8 	46 
41	으로서	부	671 	112 	13 	28 	415 	49 	106 	47 	1 	5 	7 
42	이라	인	653 	105 	19 	18 	262 	37 	187 	117 	1 	0 	12 
43	로부터	부	603 	120 	19 	34 	212 	118 	122 	72 	0 	1 	25 
44	뿐	조	600 	129 	34 	22 	144 	155 	107 	83 	12 	6 	37 
45	라고	인	561 	110 	31 	25 	174 	98 	90 	90 	1 	5 	47 
46	라도	조	551 	107 	37 	9 	103 	159 	72 	81 	41 	10 	39 
47	께서	주	535 	72 	46 	159 	24 	62 	3 	35 	11 	9 	186 
48	대로	조	500 	126 	24 	25 	112 	106 	95 	80 	11 	19 	28 
49	이라고	인	480 	91 	6 	18 	103 	22 	234 	86 	0 	0 	11 
50	이란	조	479 	93 	33 	28 	214 	82 	38 	58 	0 	2 	24 
51	이라도	조	466 	117 	34 	32 	73 	130 	51 	63 	39 	11 	33 
52	엔	부	435 	92 	21 	4 	54 	148 	60 	85 	28 	25 	10 
53	으로부터	부	420 	99 	6 	32 	180 	51 	98 	35 	0 	1 	17 
54	하고	부	339 	67 	65 	9 	17 	113 	0 	6 	36 	66 	27 
55	조차	조	334 	93 	12 	4 	96 	110 	56 	40 	2 	3 	11 
56	야	조	313 	93 	27 	9 	45 	107 	25 	39 	26 	12 	23 
57	란	조	298 	88 	11 	13 	149 	50 	27 	31 	2 	2 	13 
58	에다	부	291 	76 	11 	8 	37 	169 	12 	37 	8 	7 	2 
59	만큼	조	284 	101 	21 	16 	78 	58 	29 	65 	2 	4 	11 
60	아	호	283 	66 	11 	35 	12 	97 	5 	16 	84 	10 	13 
61	들	조	278 	76 	38 	7 	25 	111 	5 	24 	48 	12 	8 
62	같이	부	266 	76 	24 	7 	32 	101 	5 	39 	8 	4 	46 
63	마저	조	247 	79 	7 	6 	45 	67 	75 	40 	0 	2 	5 
64	야	호	246 	55 	8 	31 	12 	69 	0 	18 	73 	15 	20 
65	께	부	222 	70 	27 	54 	19 	37 	4 	27 	5 	6 	43 
66	든지	조	206 	83 	26 	14 	52 	45 	27 	21 	5 	13 	3 
67	하고	접	175 	42 	40 	0 	3 	46 	0 	3 	18 	56 	9 
68	다	조	163 	66 	1 	3 	11 	46 	64 	18 	4 	12 	4 
69	서	주	159 	55 	11 	18 	11 	68 	7 	19 	7 	10 	8 
70	에서부터	부	156 	72 	7 	8 	51 	24 	37 	26 	1 	1 	1 
71	에게서	부	151 	60 	9 	7 	29 	54 	13 	26 	2 	0 	11 
72	로써	부	150 	56 	8 	9 	88 	3 	19 	10 	2 	7 	4 
73	든	조	147 	59 	3 	3 	48 	43 	15 	20 	6 	1 	8 
74	랑	부	117 	41 	8 	0 	10 	27 	0 	9 	27 	26 	10 
75	이든	조	117 	49 	12 	5 	42 	19 	22 	12 	0 	1 	4 
76	이야말로	조	111 	45 	2 	1 	56 	12 	14 	10 	1 	0 	15 
77	니	접	107 	39 	17 	0 	16 	34 	9 	19 	5 	0 	7 
78	든가	조	104 	31 	10 	0 	53 	9 	10 	9 	0 	6 	7 
79	이니	접	90 	37 	3 	0 	18 	35 	10 	16 	1 	0 	7 
80	나마	조	85 	44 	2 	1 	32 	21 	13 	9 	0 	1 	6 
81	이라고	조	79 	46 	5 	2 	13 	40 	3 	10 	2 	0 	4 
82	야말로	조	76 	40 	5 	1 	27 	20 	11 	10 	2 	0 	0 
83	이야	조	74 	51 	14 	0 	15 	16 	7 	9 	6 	1 	6 
84	더러	부	71 	39 	5 	1 	11 	24 	8 	5 	9 	2 	6 
85	한테서	부	71 	31 	13 	1 	8 	34 	0 	1 	5 	0 	9 
86	다가	조	69 	34 	9 	4 	18 	17 	6 	3 	1 	9 	2 
87	이고	접	67 	30 	2 	1 	10 	40 	0 	7 	6 	1 	0 
88	거나	조	64 	35 	0 	3 	24 	17 	7 	11 	0 	1 	1 
89	에다가	부	64 	27 	9 	0 	6 	24 	0 	7 	0 	7 	11 
90	에야	부	61 	45 	3 	3 	15 	24 	9 	6 	1 	0 	0 
91	랑	접	56 	28 	2 	0 	1 	17 	0 	8 	18 	5 	5 
92	고	접	47 	25 	0 	1 	6 	20 	3 	3 	11 	3 	0 
93	이나마	조	47 	31 	4 	0 	11 	9 	7 	9 	0 	1 	6 
94	에게로	부	46 	22 	2 	0 	7 	28 	0 	6 	2 	0 	1 
95	이라든가	조	45 	19 	2 	0 	19 	15 	1 	2 	0 	6 	0 
96	보고	부	43 	24 	4 	1 	3 	7 	1 	1 	4 	5 	17 
97	이든지	조	43 	22 	4 	1 	8 	14 	1 	3 	0 	1 	11 
98	ㄹ	조	41 	19 	1 	1 	7 	24 	1 	4 	3 	0 	0 
99	이랑	부	39 	20 	5 	0 	0 	7 	0 	5 	6 	16 	0 
100	는커녕	조	38 	30 	2 	0 	6 	5 	15 	7 	1 	0 	2 
101	라고	조	38 	26 	2 	1 	5 	18 	2 	3 	3 	2 	2 
102	서부터	부	38 	31 	1 	1 	13 	7 	8 	4 	1 	3 	0 
103	이며	접	38 	21 	2 	0 	7 	15 	0 	8 	1 	0 	5 
104	며	접	36 	15 	0 	0 	5 	19 	2 	6 	0 	0 	4 
105	라든가	조	34 	20 	0 	0 	17 	9 	1 	1 	0 	5 	1 
106	에서	주	32 	10 	0 	0 	1 	1 	0 	0 	0 	30 	0 
